date,mc_iota,mc_nem
8/15/17,2716490000.00,2306530000.00
8/16/17,2542510000.00,2241880000.00
8/17/17,2904020000.00,2309620000.00
8/18/17,2819080000.00,2196180000.00
8/19/17,2422580000.00,2181080000.00
8/20/17,2699540000.00,2286960000.00
8/21/17,2522210000.00,2446190000.00
8/22/17,2506520000.00,2294690000.00
8/23/17,2341800000.00,2285820000.00
8/24/17,2373840000.00,2250740000.00
8/25/17,2486940000.00,2364060000.00
8/26/17,2545840000.00,2426580000.00
8/27/17,2674070000.00,2435060000.00
8/28/17,2564020000.00,2472360000.00
8/29/17,2437350000.00,2522410000.00
8/30/17,2259140000.00,2546530000.00
8/31/17,2416950000.00,2655060000.00
9/1/17,2342770000.00,3029420000.00
9/2/17,2214060000.00,2984640000.00
9/3/17,1942490000.00,2683530000.00
9/4/17,2068680000.00,2769620000.00
9/5/17,1512430000.00,2487450000.00
9/6/17,1705320000.00,2584110000.00
9/7/17,2055930000.00,2717150000.00
9/8/17,1801830000.00,2636760000.00
9/9/17,1461860000.00,2411240000.00
9/10/17,1560160000.00,2402760000.00
9/11/17,1385260000.00,2304150000.00
9/12/17,1561250000.00,2262990000.00
9/13/17,1646910000.00,2231990000.00
9/14/17,1572770000.00,2103510000.00
9/15/17,1238840000.00,1480350000.00
9/16/17,1332470000.00,1907340000.00
9/17/17,1347400000.00,1871810000.00
9/18/17,1380860000.00,1836520000.00
9/19/17,1690720000.00,2246370000.00
9/20/17,1556120000.00,2141460000.00
9/21/17,1577620000.00,2072960000.00
9/22/17,1387500000.00,1900040000.00
9/23/17,1410930000.00,1889590000.00
9/24/17,1502440000.00,1994570000.00
9/25/17,1457720000.00,1945050000.00
9/26/17,1547280000.00,2090240000.00
9/27/17,1429300000.00,2052900000.00
9/28/17,1527800000.00,2192630000.00
9/29/17,1654220000.00,2143400000.00
9/30/17,1624130000.00,2126640000.00
10/1/17,1728170000.00,2120520000.00
10/2/17,1718250000.00,2206660000.00
10/3/17,1604290000.00,2079210000.00
10/4/17,1558910000.00,2010220000.00
10/5/17,1521500000.00,1963310000.00
10/6/17,1509890000.00,1905590000.00
10/7/17,1402240000.00,1907490000.00
10/8/17,1486070000.00,1896110000.00
10/9/17,1390760000.00,1752840000.00
10/10/17,1296520000.00,1745490000.00
10/11/17,1325920000.00,1892910000.00
10/12/17,1338990000.00,1933180000.00
10/13/17,1147540000.00,1851320000.00
10/14/17,1228020000.00,1905510000.00
10/15/17,1274830000.00,1896390000.00
10/16/17,1222160000.00,1862590000.00
10/17/17,1256490000.00,2017790000.00
10/18/17,1319220000.00,1956420000.00
10/19/17,1270790000.00,1977550000.00
10/20/17,1203160000.00,1988490000.00
10/21/17,1122530000.00,1944090000.00
10/22/17,1086340000.00,1919670000.00
10/23/17,1087830000.00,1901550000.00
10/24/17,1081640000.00,1776640000.00
10/25/17,1265680000.00,1908250000.00
10/26/17,1233180000.00,1851170000.00
10/27/17,1158350000.00,1794140000.00
10/28/17,1179720000.00,1781830000.00
10/29/17,1100550000.00,1776000000.00
10/30/17,1120440000.00,1802150000.00
10/31/17,1133800000.00,1794650000.00
11/1/17,1086410000.00,1682610000.00
11/2/17,1031110000.00,1497580000.00
11/3/17,1008890000.00,1499370000.00
11/4/17,1087700000.00,1543630000.00
11/5/17,1022630000.00,1536840000.00
11/6/17,975647000.00,1632060000.00
11/7/17,1032620000.00,1678310000.00
11/8/17,1068180000.00,1613560000.00
11/9/17,1322960000.00,1744180000.00
11/10/17,1470620000.00,1993320000.00
11/11/17,1395280000.00,1728040000.00
11/12/17,1740210000.00,1720610000.00
11/13/17,1651070000.00,1627880000.00
11/14/17,1628970000.00,1729090000.00
11/15/17,1695970000.00,1758620000.00
11/16/17,2203300000.00,1748490000.00
11/17/17,2309500000.00,1770370000.00
